,Hour,Avr,MovingAverage5,MovingAverage20,MovingAverage50,1h%,7h%,35h%,140h%,Patterns
2729,15,11943.4462890625,11880.95283203125,11964.650341796874,12054.07828125,-0.001168400908767131,-0.0016319041927598255,0.013905425390925652,-0.021093975617700655,0
2730,16,11931.78857421875,11899.9751953125,11957.7298828125,12050.97634765625,0.0030925575328657473,-0.0016348495092500803,0.02035364686857144,-0.01967573845293269,0
2731,17,11901.5205078125,11917.19189453125,11949.103393554688,12047.27306640625,0.0021484992827793814,-0.0022234125472654354,0.023975366021528277,-0.017658419992181762,0
2732,18,11872.0859375,11911.69697265625,11939.358959960937,12042.8808984375,0.002653178386134103,-0.0011628452891916385,0.0271333862124008,-0.016413761406682048,0
2733,19,11855.9365234375,11900.95556640625,11929.099389648438,12037.658193359375,0.0001869952775042094,-0.0020713639880375334,0.027063076884549897,-0.014797339955107902,0
2734,13,11985.12939453125,11909.2921875,11926.939501953126,12034.32626953125,-0.0029549427171186027,-0.007237693610216089,0.003018729580474444,-0.012276937176122993,0
2735,14,12026.2255859375,11928.17958984375,11928.976000976563,12031.051845703125,-0.0037440573605732608,-0.013635650389951293,0.0053095521849979566,-0.015957510614403425,0
2736,15,12061.29931640625,11960.1353515625,11932.192065429688,12029.37388671875,-0.0020600145347132726,-0.01136934874050688,0.0017355110868642054,-0.01776349020767165,0
2737,16,12085.3798828125,12002.794140625,11935.58466796875,12028.0401171875,-0.0019161565271261782,-0.012131944523490423,0.0012430476156339854,-0.017814459441797492,0
2738,17,12112.03564453125,12054.01396484375,11939.652490234375,12027.35681640625,-0.0024939987325065527,-0.01755285182002886,0.0020928942254963,-0.019754537892337165,0
2739,18,12135.4619140625,12084.08046875,11944.694165039062,12027.240869140625,-0.0014509797772307431,-0.021117609855790587,-0.005068136302357695,-0.02164118164306328,0
2740,19,12141.27685546875,12107.09072265625,11954.405493164062,12027.17908203125,0.0003616128819461384,-0.02323380867259517,-0.010295307801345355,-0.017140048365220206,0
2741,13,12157.7216796875,12126.3751953125,11965.718212890624,12027.413466796876,-0.006760631211057744,-0.018982154037394117,-0.012289247616803833,-0.015471672345222287,0
2742,14,12169.71484375,12143.2421875,11978.571264648437,12029.31849609375,0.004847785753385292,-0.01125328848009377,-0.007651837184992627,-0.008819501506436622,0
2743,15,12158.357421875,12152.50654296875,11992.570776367187,12030.43353515625,-0.0025312180754993863,-0.010259880225590767,-0.010365207262832632,-0.01305357359877135,0
2744,16,12188.02880859375,12163.019921875,12009.336352539063,12031.483974609375,-0.002188772964127783,-0.010457159573450614,-0.012202127144442465,-0.016667953929078383,0
2745,17,12195.84716796875,12173.933984375,12027.294873046874,12032.10751953125,0.0009191038781248828,-0.007656288315187942,-0.0112864001545806,-0.017002981139424445,0
2746,18,12194.28173828125,12181.24599609375,12046.237109375,12032.479189453124,-0.0004196303073805696,-0.005754724043631643,-0.008934258318844535,-0.0161482005177922,0
2747,19,12211.478515625,12189.59873046875,12061.8330078125,12033.16927734375,-0.002373753465917283,-0.006749357977087311,-0.013538574052952779,-0.01770106953097561,0
2748,13,12210.07958984375,12199.9431640625,12076.854809570312,12034.042470703125,0.0002706090423254537,-0.007531058446913708,-0.012804375179479521,-0.0142727671954328,0
2749,14,12199.7724609375,12202.29189453125,12089.671118164062,12036.538369140624,0.001827073033647153,0.0008617785278857149,-0.009431811854101801,-0.008233366035942935,0
2750,15,12209.68603515625,12205.05966796875,12103.565991210937,12038.655146484374,-0.0038745949045847494,-0.007392519845354717,-0.020544445364236386,-0.008492305452220905,0
2751,16,12240.109375,12214.2251953125,12120.495434570312,12041.388955078124,-0.0011638467543299003,-0.005924646584010929,-0.021085273543058558,-0.00659723135879664,0
2752,17,12238.3095703125,12219.59140625,12138.806616210937,12043.519091796876,0.0014988847403152317,-0.0022646974552658072,-0.018272578857947197,-0.006141274957588871,0
2753,18,12220.14599609375,12221.6046875,12157.01708984375,12045.56076171875,0.0013955548248083538,-0.001629786678677081,-0.014850331523241223,-0.0043206140665145165,0
2754,19,12212.0419921875,12224.05859375,12168.362719726563,12048.8305859375,5.2619785583241097e-05,-0.0012080958978798462,-0.014819506938214655,2.2551336678500178e-05,0
2755,13,12148.845703125,12211.89052734375,12174.493725585937,12051.06599609375,0.008061190864564693,0.009227731910563142,-0.010916367465110488,0.003957555467799967,0
2756,14,12064.78564453125,12176.82578125,12174.668041992187,12051.404345703126,0.0054404636053186906,0.014864589018998231,-0.008551537741993687,0.013481240095529312,0
2757,15,12040.88037109375,12137.33994140625,12172.44306640625,12051.27255859375,-0.0015094203226244662,0.011287303347857769,-0.00987959161610008,0.005017515759158542,0
2758,16,12065.2255859375,12106.355859375,12170.102563476563,12051.57712890625,-0.0025722067003316473,0.012600175204299235,-0.01546856560513421,0.003485574503821587,0
2759,17,12076.55517578125,12079.25849609375,12167.1572265625,12052.06029296875,0.0007077323459647733,0.014511870149355843,-0.017392548692292786,0.0022157385630727777,0
2760,18,12083.5322265625,12066.19580078125,12164.269995117187,12052.326982421875,-0.001879343650776022,0.011059997133669786,-0.020862280912461895,0.0015657429144118051,0
2761,19,12086.1376953125,12070.4662109375,12160.690795898438,12052.56873046875,0.0014653342760462262,0.011184150520120006,-0.020452984132795726,0.007580408217127577,0
2762,13,12104.67138671875,12083.2244140625,12157.438623046875,12053.322666015625,-0.0012409215634531234,0.007053201115644114,-0.016198255259927907,0.007770453940572963,0
2763,14,12107.30029296875,12091.63935546875,12154.885766601563,12054.24611328125,0.0007713165459219962,-0.00042281605823113466,-0.018024551734288186,0.006096620247273199,0
2764,15,12113.18505859375,12098.96533203125,12151.143579101563,12055.943271484375,-0.0020846682135975403,-0.007755191254718241,-0.015616206501426588,0.0006036960760722465,0
2765,16,12136.41796875,12109.54248046875,12148.172119140625,12058.96171875,-0.001774779258011061,-0.008027266449227577,-0.016216687716511302,-0.0023577969776656937,0
2766,17,12164.05078125,12125.12509765625,12146.660571289063,12062.303173828124,-0.002597139362280121,-0.00813145476365651,-0.0218044409864383,-0.003369097184582892,0
2767,18,12119.57666015625,12128.10615234375,12142.065478515626,12064.344150390625,0.010488100922547483,0.001311711238847879,-0.01397919357379751,0.004115682336488735,0
2768,19,12039.53369140625,12114.55283203125,12133.53818359375,12064.521240234375,0.0022268379980432407,0.005724426381944037,-0.014060919200202804,0.005672699882117271,0
2769,13,11964.248046875,12084.7654296875,12121.761962890625,12063.1136328125,0.005340146897006459,0.013808515017679879,0.0029338480607492556,0.012086737080220455,0
2770,14,11956.32861328125,12048.74755859375,12109.094091796875,12063.29919921875,-0.004036748488471131,0.010972655620187899,0.001933152820963624,0.0022323855754651234,0
2771,15,11982.60693359375,12012.4587890625,12096.218969726562,12064.3219921875,-0.000276811522399778,0.009702745005495395,0.005390205647248347,-0.002013056181738304,-1
2772,16,11999.80810546875,11988.505078125,12084.293896484374,12066.065078125,-0.002538887148632263,0.009203293197616036,0.004887989699126072,-0.006207785118644282,0
2773,17,11996.52734375,11979.90380859375,12073.112963867188,12068.42828125,0.0031125064775943123,0.014221845660248311,0.009937175896076678,-0.0013090529129362594,0
2774,18,11977.10009765625,11982.47421875,12061.365869140625,12070.9159375,-6.775395871461143e-05,0.017140039360891812,0.012452133988793745,-0.0005802706668733837,0
2775,19,11969.3642578125,11985.08134765625,12052.391796875,12073.5696875,0.0010969876513378107,0.007533443102847315,0.01510255993717502,0.001034783112692228,0
2776,13,12115.45361328125,12011.65068359375,12054.9251953125,12079.57001953125,-0.00627235038574947,-0.012955941842895169,-0.00305128340078209,-0.01767717897303034,0
2777,14,12168.83544921875,12045.45615234375,12061.32294921875,12084.955517578124,-0.0024697237817575823,-0.02066118352132451,0.0012525354083512408,-0.018093033075366804,0
2778,15,12177.603515625,12081.67138671875,12066.941845703124,12090.314716796875,0.001192062098924751,-0.015562524764416108,-0.0022513251419986613,-0.014114252764988677,0
2779,16,12185.69091796875,12123.38955078125,12072.3986328125,12095.159609375,-0.0024690298714434844,-0.017719993747184026,-0.002137339276336636,-0.011927334466662942,0
2780,17,12216.20068359375,12172.7568359375,12079.032055664062,12100.8478515625,-0.002481052384576743,-0.017676350528829432,-0.0024465611655860586,-0.013406625044601106,0
2781,18,12240.2353515625,12197.71318359375,12086.736938476562,12107.6221484375,-0.0014033546890080961,-0.022217284463232345,-0.004662275622305145,-0.012753769054155484,0
2782,19,12241.06640625,12212.159375,12093.556689453126,12115.0017578125,0.0013007410967209587,-0.021023645084641163,-0.002954488031768898,-0.012178861081186154,0
2783,13,12210.60205078125,12218.75908203125,12098.72177734375,12122.095068359375,0.003301998302177367,-0.009280827028849581,0.001743644800824562,-0.01781327908162167,0
2784,14,12197.26953125,12221.0748046875,12102.926000976562,12126.33787109375,-0.0008003198718463667,-0.00396342410134487,0.0007174867651102979,-0.020961417859490128,0
2785,15,12213.466796875,12220.52802734375,12106.778442382812,12130.0826953125,-0.0018438854809875727,-0.0032622282032357397,-0.0031698821493399976,-0.018173559615249246,0
2786,16,12233.19921875,12219.12080078125,12110.235864257813,12133.520693359374,-0.0013732306811357065,-0.005797898958653347,-0.0007043251820464391,-0.02160943688846706,0
2787,17,12242.755859375,12219.45869140625,12116.39482421875,12136.668212890625,-0.00012937298846738,-0.0034728910547831005,0.0003207205836173177,-0.01548822789554416,0
2788,18,12244.8642578125,12226.3111328125,12126.661352539062,12139.32478515625,-0.0001740055209671354,-0.0011668417886300242,-0.0014096680083114377,-0.015114636304537465,1
2789,19,12249.447265625,12236.7466796875,12140.921313476563,12141.6044921875,-0.0008607970381314667,-0.0004650630915140619,-0.0034564961607990163,-0.015717793723481144,0
2790,13,12193.43994140625,12232.74130859375,12152.776879882813,12142.64775390625,0.0005046089729072722,0.0033111609266829323,0.000594892242071543,-0.009133670748693423,0
2791,14,12188.3291015625,12223.76728515625,12163.06298828125,12143.25990234375,0.00038578534083022475,0.0005258669311440922,-0.007259399851359594,-0.010725858244162167,0
2792,15,12180.845703125,12211.38525390625,12172.114868164062,12143.48251953125,0.0008593316446672272,0.0021832189068360375,-0.011812802373211917,-0.01209833724860998,0
2793,16,12185.56396484375,12199.5251953125,12181.56669921875,12144.026650390624,-0.001468625399779766,0.0024827048718016886,-0.011876654045462787,-0.012325514145019256,0
2794,17,12198.58447265625,12189.35263671875,12192.64091796875,12144.237763671876,-0.0006804794198791431,0.0032146510428228137,-0.009990314992426974,-0.012081370709470463,0
2795,18,12193.05908203125,12189.27646484375,12203.825659179687,12144.182001953124,0.0016017536810155608,0.004965572676036478,-0.009121892228741268,-0.00865257992316426,0
2796,19,12181.28515625,12187.86767578125,12207.117236328126,12143.9220703125,0.00020429169711388973,0.0052653218371949695,-0.006983119957550965,-0.008236370945615579,0
2797,13,12288.990234375,12209.49658203125,12213.124975585937,12145.4723046875,-0.000681748654316916,-0.007863305820037914,-0.015945784855790124,-0.01468730639136584,0
2798,14,12282.17919921875,12228.81962890625,12218.353759765625,12146.914296875,0.0023628992263242665,-0.006277130195484704,-0.012693329384952046,-0.015335401457239217,0
2799,15,12264.9462890625,12242.0919921875,12222.316528320312,12148.2177734375,0.0003194954583785048,-0.00627173088735089,-0.01324647919906985,-0.02195750853746492,0
2800,16,12226.515625,12248.78330078125,12222.832275390625,12148.554365234375,0.00595717088777814,-0.0011153773469048112,-0.0052966604930908545,-0.01220746579425358,0
2801,17,12219.68017578125,12256.4623046875,12221.804516601562,12148.14578125,-0.005407163569188578,-0.004764134875348214,-0.008534556097399282,-0.016127124573021123,0
2802,18,12288.9931640625,12256.462890625,12224.200854492188,12149.159453125,-0.005729913863496194,-0.009857382101626122,-0.01148145991092775,-0.027223588430664303,0
2803,19,12314.46142578125,12262.9193359375,12229.393823242188,12151.04576171875,0.0015020778863137352,-0.00997060047799525,-0.020503160775982354,-0.03064034135031457,0
2804,13,12306.189453125,12271.16796875,12234.839819335937,12152.9287109375,0.002669582367216261,-0.0004056500174020039,-0.023896004208271315,-0.023858419005875375,0
2805,14,12299.5966796875,12285.7841796875,12239.146313476562,12155.94373046875,-0.001617297290436026,-0.0010461738138418664,-0.030659390177533052,-0.017552189690106634,0
2806,15,12314.9951171875,12304.84716796875,12243.236108398438,12160.947919921875,-0.0006657284002525854,-0.0042365471415455325,-0.02744904894697109,-0.01853528019650641,0
2807,16,12317.326171875,12310.51376953125,12246.964624023438,12166.4768359375,0.00043710695464760363,-0.004207154438483296,-0.02680380765200452,-0.015827601591285045,0
